Energía Eléctrica (categoría),Subcategoría,Potencia Nominal (MW),Potencia Nominal (%),Potencia Efectiva (MW),Potencia Efectiva (%),Producción Total (GWh),Producción Total (%),Producción SNI (GWh),Producción SNI (%),Entregada a Servicio Público (GWh),Entregada a Servicio Público (%),Mes,Año
Renovable,Biomasa,144.30,1.66%,136.40,1.68%,414.12,1.29%,414.12,1.48%,176.05,0.68%,Abril,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,43.84,0.14%,43.84,0.16%,43.56,0.17%,Abril,2021
No Renovable,Térmica MCI ,2031.08,23.31%,1633.92,20.18%,4567.86,14.26%,760.26,2.73%,559.10,2.15%,Abril,2021
No Renovable,Térmica Turbogas ,921.85,10.58%,775.55,9.58%,959.03,2.99%,665.76,2.39%,644.70,2.47%,Abril,2021
No Renovable,Térmica Turbovapor ,461.63,5.30%,431.50,5.33%,840.77,2.62%,831.85,2.98%,765.34,2.94%,Abril,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,250.70,0.78%,250.70,0.90%,250.70,0.96%,Abril,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Abril,2021
Renovable,Hidráulica,5098.75,58.44%,5064.16,62.53%,24900.02,77.24%,24880.36,88.95%,23527.98,90.24%,Mayo,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,70.60,0.22%,65.98,0.24%,68.99,0.26%,Mayo,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,37.84,0.12%,34.32,0.12%,37.19,0.14%,Mayo,2021
Renovable,Biomasa,144.30,1.65%,136.40,1.68%,414.12,1.28%,414.12,1.48%,176.05,0.68%,Mayo,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,44.53,0.14%,44.53,0.16%,44.23,0.17%,Mayo,2021
No Renovable,Térmica MCI ,2042.65,23.41%,1636.37,20.21%,4708.74,14.61%,783.18,2.80%,561.13,2.15%,Mayo,2021
No Renovable,Térmica Turbogas ,921.85,10.57%,775.55,9.58%,951.08,2.95%,648.04,2.32%,627.18,2.41%,Mayo,2021
No Renovable,Térmica Turbovapor ,461.63,5.29%,431.50,5.33%,858.68,2.66%,847.85,3.03%,779.15,2.99%,Mayo,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,251.80,0.78%,251.80,0.90%,251.80,0.97%,Mayo,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Mayo,2021
Renovable,Hidráulica,5098.75,58.44%,5064.16,62.53%,24842.03,77.09%,24822.45,88.90%,23444.47,90.10%,Junio,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,68.27,0.21%,64.32,0.23%,66.73,0.26%,Junio,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,37.60,0.12%,34.16,0.12%,36.93,0.14%,Junio,2021
Renovable,Biomasa,144.30,1.65%,136.40,1.68%,418.13,1.30%,418.13,1.50%,176.17,0.68%,Junio,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,43.57,0.14%,43.57,0.16%,43.28,0.17%,Junio,2021
No Renovable,Térmica MCI ,2042.65,23.41%,1636.37,20.21%,4753.37,14.75%,793.05,2.84%,596.33,2.29%,Junio,2021
No Renovable,Térmica Turbogas ,921.85,10.57%,775.55,9.58%,946.45,2.94%,643.08,2.30%,622.55,2.39%,Junio,2021
No Renovable,Térmica Turbovapor ,461.63,5.29%,431.50,5.33%,864.47,2.68%,851.18,3.05%,781.25,3.00%,Junio,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,251.93,0.78%,251.93,0.90%,251.93,0.97%,Junio,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Junio,2021
Renovable,Hidráulica,5098.75,58.44%,5064.16,62.53%,24813.51,77.04%,24794.01,88.94%,23391.85,90.12%,Julio,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,70.32,0.22%,66.96,0.24%,68.78,0.26%,Julio,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,36.54,0.11%,33.15,0.12%,37.17,0.14%,Julio,2021
Renovable,Biomasa,144.30,1.65%,136.40,1.68%,413.53,1.28%,413.53,1.48%,175.11,0.67%,Julio,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,43.51,0.14%,43.51,0.16%,43.26,0.17%,Julio,2021
No Renovable,Térmica MCI ,2042.65,23.41%,1636.37,20.21%,4786.92,14.86%,799.48,2.87%,603.18,2.32%,Julio,2021
No Renovable,Térmica Turbogas ,921.85,10.57%,775.55,9.58%,944.71,2.93%,641.34,2.30%,621.65,2.39%,Julio,2021
No Renovable,Térmica Turbovapor ,461.63,5.29%,431.50,5.33%,845.89,2.63%,829.97,2.98%,760.95,2.93%,Julio,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,255.68,0.79%,255.68,0.92%,255.68,0.98%,Julio,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Julio,2021
Renovable,Hidráulica,5098.75,58.44%,5064.16,62.53%,24875.13,77.02%,24855.98,88.99%,23431.01,90.14%,Agosto,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,68.94,0.21%,66.14,0.24%,67.46,0.26%,Agosto,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,37.45,0.12%,34.10,0.12%,36.73,0.14%,Agosto,2021
Renovable,Biomasa,144.30,1.65%,136.40,1.68%,403.66,1.25%,403.66,1.45%,167.85,0.65%,Agosto,2021
Renovable,Biogas,7.26,0.08%,6.50,0.08%,42.82,0.13%,42.82,0.15%,42.57,0.16%,Agosto,2021
No Renovable,Térmica MCI ,2042.65,23.41%,1636.37,20.21%,4806.97,14.88%,799.71,2.86%,606.83,2.33%,Agosto,2021
No Renovable,Térmica Turbogas ,921.85,10.57%,775.55,9.58%,948.94,2.94%,635.01,2.27%,615.71,2.37%,Agosto,2021
No Renovable,Térmica Turbovapor ,461.63,5.29%,431.50,5.33%,831.93,2.58%,813.45,2.91%,745.84,2.87%,Agosto,2021
Interconexiones,Colombia,540.00,83.08%,525.00,82.68%,279.66,0.87%,279.66,1.00%,279.66,1.08%,Agosto,2021
Interconexiones,Perú,110.00,16.92%,110.00,17.32%,0.00,0.00%,0.00,0.00%,0.00,0.00%,Agosto,2021
Renovable,Hidráulica,5098.75,58.44%,5064.16,62.53%,24773.78,76.33%,24754.49,88.27%,23314.71,89.34%,Septiembre,2021
Renovable,Eólica,21.15,0.24%,21.15,0.26%,68.84,0.21%,66.42,0.24%,67.4,0.26%,Septiembre,2021
Renovable,Fotovoltaica,27.63,0.32%,26.74,0.33%,37.48,0.12%,34.12,0.12%,36.74,0.14%,Septiembre,2021
Renovable,Biomasa,144.3,1.65%,136.4,1.68%,395.97,1.22%,395.97,1.41%,163.79,0.63%,Septiembre,2021
Renovable,Biogas,7.26,0.08%,6.5,0.08%,42.37,0.13%,42.37,0.15%,42.16,0.16%,Septiembre,2021
No Renovable,Térmica MCI ,2042.65,23.41%,1636.37,20.21%,4878.59,15.03%,843.14,3.01%,650.14,2.49%,Septiembre,2021
No Renovable,Térmica Turbogas ,921.85,10.57%,775.55,9.58%,962.92,2.97%,634.72,2.26%,615.3,2.36%,Septiembre,2021
No Renovable,Térmica Turbovapor ,461.63,5.29%,431.5,5.33%,834.69,2.57%,813.66,2.90%,746.91,2.86%,Septiembre,2021
Interconexiones,Colombia,540,83.08%,525,82.68%,460.03,1.42%,460.03,1.64%,460.03,1.76%,Septiembre,2021
Interconexiones,Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Septiembre,2021
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,41.97,0.13%,41.97,0.15%,41.79,0.16%,Octubre,2021
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,64.86,0.20%,62.54,0.22%,63.53,0.24%,Octubre,2021
Renovable, Fotovoltaica ,27.65,0.31%,26.76,0.33%,37.23,0.11%,33.89,0.12%,36.48,0.14%,Octubre,2021
Renovable, Biomasa ,144.3,1.64%,136.4,1.68%,390.75,1.20%,390.75,1.39%,159.64,0.61%,Octubre,2021
Renovable, Hidráulica ,5098.75,58.06%,5064.16,62.24%,24710.88,75.77%,24691.39,87.68%,23233.67,88.71%,Octubre,2021
No Renovable, Térmica Turbovapor ,461.63,5.26%,431.5,5.30%,859.19,2.63%,835.49,2.97%,767.04,2.93%,Octubre,2021
No Renovable, Térmica Turbogas ,965.65,11.00%,804.55,9.89%,981.33,3.01%,635.74,2.26%,616.35,2.35%,Octubre,2021
No Renovable, Térmica MCI ,2054.93,23.40%,1644.26,20.21%,4937.17,15.14%,880.02,3.13%,683.08,2.61%,Octubre,2021
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Octubre,2021
Interconexiones, Colombia ,540,83.08%,525,82.68%,588.31,1.80%,588.31,2.09%,588.31,2.25%,Octubre,2021
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,41.59,0.13%,41.59,0.15%,41.42,0.16%,Noviembre,2021
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,62.69,0.19%,60.5,0.21%,61.44,0.23%,Noviembre,2021
Renovable, Fotovoltaica ,27.65,0.31%,26.76,0.33%,36.89,0.11%,33.51,0.12%,36.08,0.14%,Noviembre,2021
Renovable, Biomasa ,144.3,1.64%,136.4,1.68%,382.85,1.18%,382.85,1.35%,153.21,0.58%,Noviembre,2021
Renovable, Hidráulica ,5098.75,58.06%,5064.16,62.24%,25265.05,77.77%,25245.62,89.17%,23757.75,90.28%,Noviembre,2021
No Renovable, Térmica Turbovapor ,461.63,5.26%,431.5,5.30%,855.14,2.63%,828.67,2.93%,759.65,2.89%,Noviembre,2021
No Renovable, Térmica Turbogas ,965.65,11.00%,804.55,9.89%,939.23,2.89%,611.79,2.16%,592.87,2.25%,Noviembre,2021
No Renovable, Térmica MCI ,2054.93,23.40%,1644.26,20.21%,4509.31,13.88%,710.78,2.51%,517.55,1.97%,Noviembre,2021
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Noviembre,2021
Interconexiones, Colombia ,540,83.08%,525,82.68%,396.15,1.22%,396.15,1.40%,396.15,1.51%,Noviembre,2021
Renovable, Biogas ,8.32,0.10%,7.2,0.09%,42.13,0.13%,42.13,0.15%,41.94,0.16%,Diciembre,2021
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,62.01,0.19%,60.06,0.21%,60.83,0.23%,Diciembre,2021
Renovable, Fotovoltaica ,27.65,0.32%,26.76,0.33%,36.87,0.11%,33.44,0.12%,36.02,0.14%,Diciembre,2021
Renovable, Biomasa ,144.3,1.65%,136.4,1.68%,372.8,1.15%,372.8,1.31%,146.84,0.55%,Diciembre,2021
Renovable, Hidráulica ,5106.85,58.47%,5072.26,62.62%,25562.65,78.51%,25543.57,89.55%,24046.13,90.65%,Diciembre,2021
No Renovable, Térmica Turbovapor ,461.63,5.29%,431.5,5.33%,871.07,2.68%,843.06,2.96%,773.56,2.92%,Diciembre,2021
No Renovable, Térmica Turbogas ,943.85,10.81%,790.55,9.76%,911.82,2.80%,594.53,2.08%,575.94,2.17%,Diciembre,2021
No Renovable, Térmica MCI ,2020.67,23.13%,1614.85,19.93%,4335.56,13.32%,671.95,2.36%,480.23,1.81%,Diciembre,2021
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Diciembre,2021
Interconexiones, Colombia ,540,83.08%,525,82.68%,363.8,1.12%,363.8,1.28%,363.8,1.37%,Diciembre,2021
Renovable, Biogas ,8.32,0.10%,7.2,0.09%,41.3,0.13%,41.3,0.14%,41.12,0.15%,Enero,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,60.65,0.19%,58.87,0.21%,59.54,0.22%,Enero,2022
Renovable, Fotovoltaica ,27.65,0.32%,26.76,0.33%,36.84,0.11%,33.41,0.12%,35.96,0.14%,Enero,2022
Renovable, Biomasa ,144.3,1.65%,136.4,1.68%,378.89,1.16%,378.89,1.32%,147.42,0.55%,Enero,2022
Renovable, Hidráulica ,5106.85,58.47%,5072.26,62.62%,25458.78,77.91%,25440.19,88.77%,23929.78,89.86%,Enero,2022
No Renovable, Térmica Turbovapor ,461.63,5.29%,431.5,5.33%,937.73,2.87%,911.64,3.18%,839.82,3.15%,Enero,2022
No Renovable, Térmica Turbogas ,943.85,10.81%,790.55,9.76%,903.02,2.76%,584.98,2.04%,566.07,2.13%,Enero,2022
No Renovable, Térmica MCI ,2020.67,23.13%,1614.85,19.93%,4485.27,13.73%,833.97,2.91%,634.91,2.38%,Enero,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Enero,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,375.4,1.15%,375.4,1.31%,375.4,1.41%,Enero,2022
Renovable, Biogas ,8.32,0.10%,7.2,0.09%,40.52,0.12%,40.52,0.14%,40.36,0.15%,Febrero,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,59.04,0.18%,57.33,0.20%,57.98,0.22%,Febrero,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,36.91,0.11%,33.32,0.12%,36.01,0.13%,Febrero,2022
Renovable, Biomasa ,144.3,1.65%,136.4,1.68%,378.89,1.16%,378.89,1.32%,147.42,0.55%,Febrero,2022
Renovable, Hidráulica ,5106.85,58.45%,5072.26,62.60%,25271.9,77.21%,25254.51,87.94%,23750.71,89.00%,Febrero,2022
No Renovable, Térmica Turbovapor ,461.63,5.28%,431.5,5.33%,1046.75,3.20%,1022.84,3.56%,944.46,3.54%,Febrero,2022
No Renovable, Térmica Turbogas ,943.85,10.80%,790.55,9.76%,904.71,2.76%,582.87,2.03%,563.94,2.11%,Febrero,2022
No Renovable, Térmica MCI ,2021.86,23.14%,1616.04,19.94%,4609.28,14.08%,963.24,3.35%,761.51,2.85%,Febrero,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Febrero,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,383.09,1.17%,383.09,1.33%,383.09,1.44%,Febrero,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,40,0.12%,40,0.14%,39.82,0.15%,Marzo,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,58.33,0.18%,56.64,0.20%,57.3,0.21%,Marzo,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,36.92,0.11%,33.23,0.12%,36.01,0.13%,Marzo,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,378.89,1.16%,378.89,1.32%,147.42,0.55%,Marzo,2022
Renovable, Hidráulica ,5155.3,58.68%,5120.71,62.81%,25181.91,76.90%,25165.67,87.59%,23652.14,88.65%,Marzo,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1151.09,3.52%,1129.67,3.93%,1041.8,3.90%,Marzo,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.70%,903.58,2.76%,577.92,2.01%,559.11,2.10%,Marzo,2022
No Renovable, Térmica MCI ,2022.91,23.02%,1616.89,19.83%,4612.88,14.09%,965.87,3.36%,764.23,2.86%,Marzo,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Marzo,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,383.51,1.17%,383.51,1.33%,383.51,1.44%,Marzo,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,39.58,0.12%,39.58,0.14%,39.42,0.15%,Abril,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,58.1,0.18%,56.3,0.20%,57.06,0.21%,Abril,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,37.02,0.11%,33.12,0.12%,36.1,0.14%,Abril,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,378.89,1.16%,378.89,1.32%,147.42,0.55%,Abril,2022
Renovable, Hidráulica ,5155.3,58.68%,5120.71,62.81%,25073.37,76.51%,25057.97,87.17%,23528.79,88.21%,Abril,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1264.14,3.86%,1244.96,4.33%,1146.88,4.30%,Abril,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.70%,906.57,2.77%,580.92,2.02%,561.93,2.11%,Abril,2022
No Renovable, Térmica MCI ,2022.91,23.02%,1616.89,19.83%,4624.48,14.11%,967.7,3.37%,767.58,2.88%,Abril,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Abril,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,387.16,1.18%,387.16,1.35%,387.16,1.45%,Abril,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,39.47,0.12%,39.47,0.14%,39.34,0.15%,Mayo,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,58.56,0.18%,56.64,0.20%,57.53,0.21%,Mayo,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,37.19,0.11%,33.13,0.11%,36.26,0.14%,Mayo,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,378.89,1.15%,378.89,1.31%,147.42,0.55%,Mayo,2022
Renovable, Hidráulica ,5155.3,58.68%,5120.71,62.81%,25212.31,76.50%,25197.52,87.11%,23652.34,88.15%,Mayo,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1301.73,3.95%,1284.53,4.44%,1183.6,4.41%,Mayo,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.70%,908.86,2.76%,581.91,2.01%,563.02,2.10%,Mayo,2022
No Renovable, Térmica MCI ,2022.91,23.02%,1616.89,19.83%,4634.57,14.06%,965.16,3.34%,765.53,2.85%,Mayo,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Mayo,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,387.73,1.18%,387.73,1.34%,387.73,1.44%,Mayo,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,39.82,0.12%,39.82,0.14%,39.68,0.15%,Junio,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,57.78,0.18%,55.64,0.19%,56.76,0.21%,Junio,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,37.31,0.11%,33.09,0.11%,36.34,0.14%,Junio,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,375.07,1.14%,375.07,1.29%,147,0.55%,Junio,2022
Renovable, Hidráulica ,5155.3,58.67%,5120.71,62.81%,25252.92,76.61%,25239.32,87.13%,23694.35,88.27%,Junio,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1319.21,4.00%,1304.48,4.50%,1201.88,4.48%,Junio,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.70%,908.28,2.76%,581.48,2.01%,562.36,2.09%,Junio,2022
No Renovable, Térmica MCI ,2023.64,23.03%,1617.47,19.84%,4582.67,13.90%,949.58,3.28%,717.07,2.67%,Junio,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Junio,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,388.51,1.18%,388.51,1.34%,388.51,1.45%,Junio,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,39.27,0.12%,39.27,0.14%,39.09,0.15%,Julio,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,55.35,0.17%,53.12,0.18%,54.38,0.20%,Julio,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,37.19,0.11%,32.78,0.11%,36.19,0.13%,Julio,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,378.49,1.15%,378.49,1.30%,147.68,0.55%,Julio,2022
Renovable, Hidráulica ,5155.3,58.65%,5120.71,62.79%,25353.64,76.75%,25340.99,87.21%,23790.13,88.32%,Julio,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1336.49,4.05%,1324.4,4.56%,1219.81,4.53%,Julio,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.69%,907.03,2.75%,579.35,1.99%,559.59,2.08%,Julio,2022
No Renovable, Térmica MCI ,2026.09,23.05%,1619.63,19.86%,4535.91,13.73%,919.88,3.17%,698.83,2.59%,Julio,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Julio,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,390.62,1.18%,390.62,1.34%,390.62,1.45%,Julio,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,39.46,0.12%,39.46,0.14%,39.28,0.15%,Agosto,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,55.38,0.17%,53.06,0.18%,54.42,0.20%,Agosto,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,37.36,0.11%,32.77,0.11%,36.33,0.13%,Agosto,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,378.94,1.14%,378.94,1.30%,149.42,0.55%,Agosto,2022
Renovable, Hidráulica ,5155.3,58.65%,5120.71,62.79%,25449.75,76.77%,25437.38,87.22%,23885.12,88.20%,Agosto,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1370.81,4.14%,1361.26,4.67%,1252.48,4.62%,Agosto,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.69%,902.25,2.72%,577.08,1.98%,557.1,2.06%,Agosto,2022
No Renovable, Térmica MCI ,2026.09,23.05%,1619.63,19.86%,4548.68,13.72%,916.92,3.14%,739.34,2.73%,Agosto,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Agosto,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,368.36,1.11%,368.36,1.26%,368.36,1.36%,Agosto,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,39.9,0.12%,39.9,0.14%,39.71,0.15%,Septiembre,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,53.39,0.16%,50.8,0.17%,52.47,0.19%,Septiembre,2022
Renovable, Fotovoltaica ,28.65,0.33%,27.76,0.34%,37.59,0.11%,32.83,0.11%,36.53,0.13%,Septiembre,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,381.08,1.15%,381.08,1.30%,153.01,0.56%,Septiembre,2022
Renovable, Hidráulica ,5155.3,58.65%,5120.71,62.79%,25622.72,77.02%,25610.96,87.46%,24056.27,88.32%,Septiembre,2022
No Renovable, Térmica Turbovapor ,461.63,5.25%,431.5,5.29%,1401.46,4.21%,1394.46,4.76%,1282.53,4.71%,Septiembre,2022
No Renovable, Térmica Turbogas ,943.85,10.74%,790.55,9.69%,908.36,2.73%,587.71,2.01%,568.2,2.09%,Septiembre,2022
No Renovable, Térmica MCI ,2026.09,23.05%,1619.63,19.86%,4597.46,13.82%,962.17,3.29%,825.49,3.03%,Septiembre,2022
Interconexiones, Perú,110,16.92%,110,17.32%,0,0.00%,0,0.00%,0,0.00%,Septiembre,2022
Interconexiones, Colombia ,540,83.08%,525,82.68%,224.15,0.67%,224.15,0.77%,224.15,0.82%,Septiembre,2022
Renovable, Biogas ,8.32,0.09%,7.2,0.09%,40.8,0.12%,40.8,0.14%,40.63,0.15%,Octubre,2022
Renovable, Eólica ,21.15,0.24%,21.15,0.26%,53.34,0.16%,50.69,0.17%,52.43,0.19%,Octubre,2022
Renovable, Fotovoltaica ,28.65,0.32%,27.76,0.34%,37.81,0.11%,32.82,0.11%,36.73,0.13%,Octubre,2022
Renovable, Biomasa ,144.3,1.64%,136.4,1.67%,377.9,1.14%,377.9,1.29%,153.21,0.56%,Octubre,2022
Renovable, Hidráulica ,5191.3,58.82%,5151.31,62.93%,25567.68,76.80%,25556.45,87.24%,23994.67,87.71%,Octubre,2022
No Renovable, Térmica Turbovapor ,461.63,5.23%,431.5,5.27%,1397.26,4.20%,1392.94,4.75%,1282.07,4.69%,Octubre,2022
